13,frets,busy bold ,-962.73,braid
14,fluff,stealthy ep,7294.77,ironi
15,carefu,evenly,-767.14,asymptotes impre
16,epitaphs ought ,closel,7801.20,close warhorses 
17,permanent fina,final ,2599.88,quickly brave or
18,depths si,even d,7625.41,busy as
19,bold,regular ,2510.03,daring blit
20,multiplie,final final co,434.63,boldly q
3,fluffy notor,courts at the d,5284.74,quick
4,stealthy b,depths may ,1097.79,bold 
9,some,regular bold ,2312.21,permanen
10,dogged bra,pinto,-135.16,idle silen
11,careful slow Ti,permanent r,730.41,hockey players 
12,depths fro,evenly ruthl,2045.05,brave d
1,busy sly ,permanently,1067.04,evenly final ins
2,bold even ,Tiresias' sha,7041.89,notornis 
7,evenly sile,Tiresias' unwind,7681.51,hockey play
8,dependenci,furious regu,9180.07,finally cl
5,idle,ironi,3846.93,bold
6,sautern,permanent r,697.23,notornis wi
